year,section,characteristic,income_group,estimate_raw,estimate,flag
2011,External Building Conditions,Bars on windows,"$100,000 to $119,999",120,120.0,ok
2011,External Building Conditions,Bars on windows,"$120,000 or more",266,266.0,ok
2011,External Building Conditions,Bars on windows,"$20,000 to $29,999",383,383.0,ok
2011,External Building Conditions,Bars on windows,"$30,000 to $39,999",285,285.0,ok
2011,External Building Conditions,Bars on windows,"$40,000 to $49,999",207,207.0,ok
2011,External Building Conditions,Bars on windows,"$50,000 to $59,999",188,188.0,ok
2011,External Building Conditions,Bars on windows,"$60,000 to $79,999",321,321.0,ok
2011,External Building Conditions,Bars on windows,"$80,000 to $99,999",184,184.0,ok
2011,External Building Conditions,Bars on windows,"Less than $10,000",330,330.0,ok
2011,External Building Conditions,Boarded up windows,"$10,000 to $19,999",127,127.0,ok
2011,External Building Conditions,Boarded up windows,"$100,000 to $119,999",16,16.0,ok
2011,External Building Conditions,Boarded up windows,"$120,000 or more",44,44.0,ok
2011,External Building Conditions,Boarded up windows,"$20,000 to $29,999",117,117.0,ok
2011,External Building Conditions,Boarded up windows,"$30,000 to $39,999",101,101.0,ok
2011,External Building Conditions,Boarded up windows,"$40,000 to $49,999",84,84.0,ok
2011,External Building Conditions,Boarded up windows,"$50,000 to $59,999",53,53.0,ok
2011,External Building Conditions,Boarded up windows,"$60,000 to $79,999",74,74.0,ok
2011,External Building Conditions,Boarded up windows,"$80,000 to $99,999",48,48.0,ok
2011,External Building Conditions,Boarded up windows,"Less than $10,000",167,167.0,ok
2011,External Building Conditions,Broken windows,"$10,000 to $19,999",510,510.0,ok
2011,External Building Conditions,Broken windows,"$100,000 to $119,999",177,177.0,ok
2011,External Building Conditions,Broken windows,"$120,000 or more",281,281.0,ok
2011,External Building Conditions,Broken windows,"$20,000 to $29,999",490,490.0,ok
2011,External Building Conditions,Broken windows,"$30,000 to $39,999",413,413.0,ok
2011,External Building Conditions,Broken windows,"$40,000 to $49,999",355,355.0,ok
2011,External Building Conditions,Broken windows,"$50,000 to $59,999",241,241.0,ok
2011,External Building Conditions,Broken windows,"$60,000 to $79,999",400,400.0,ok
2011,External Building Conditions,Broken windows,"$80,000 to $99,999",265,265.0,ok
2011,External Building Conditions,Broken windows,"Less than $10,000",468,468.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$10,000 to $19,999",521,521.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$100,000 to $119,999",276,276.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$120,000 or more",498,498.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$20,000 to $29,999",618,618.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$30,000 to $39,999",511,511.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$40,000 to $49,999",396,396.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$50,000 to $59,999",333,333.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$60,000 to $79,999",584,584.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$80,000 to $99,999",352,352.0,ok
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"Less than $10,000",461,461.0,ok
2011,External Building Conditions,Hole in roof,"$10,000 to $19,999",200,200.0,ok
2011,External Building Conditions,Hole in roof,"$100,000 to $119,999",39,39.0,ok
2011,External Building Conditions,Hole in roof,"$120,000 or more",112,112.0,ok
2011,External Building Conditions,Hole in roof,"$20,000 to $29,999",199,199.0,ok
2011,External Building Conditions,Hole in roof,"$30,000 to $39,999",192,192.0,ok
2011,External Building Conditions,Hole in roof,"$40,000 to $49,999",91,91.0,ok
2011,External Building Conditions,Hole in roof,"$50,000 to $59,999",36,36.0,ok
2011,External Building Conditions,Hole in roof,"$60,000 to $79,999",129,129.0,ok
2011,External Building Conditions,Hole in roof,"$80,000 to $99,999",73,73.0,ok
2011,External Building Conditions,Hole in roof,"Less than $10,000",213,213.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$10,000 to $19,999",324,324.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$100,000 to $119,999",81,81.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$120,000 or more",173,173.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$20,000 to $29,999",265,265.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$30,000 to $39,999",232,232.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$40,000 to $49,999",192,192.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$50,000 to $59,999",165,165.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$60,000 to $79,999",267,267.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$80,000 to $99,999",122,122.0,ok
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","Less than $10,000",313,313.0,ok
2011,External Building Conditions,Missing roofing material,"$10,000 to $19,999",358,358.0,ok
2011,External Building Conditions,Missing roofing material,"$100,000 to $119,999",159,159.0,ok
2011,External Building Conditions,Missing roofing material,"$120,000 or more",330,330.0,ok
2011,External Building Conditions,Missing roofing material,"$20,000 to $29,999",379,379.0,ok
2011,External Building Conditions,Missing roofing material,"$30,000 to $39,999",365,365.0,ok
2011,External Building Conditions,Missing roofing material,"$40,000 to $49,999",290,290.0,ok
2011,External Building Conditions,Missing roofing material,"$50,000 to $59,999",213,213.0,ok
2011,External Building Conditions,Missing roofing material,"$60,000 to $79,999",379,379.0,ok
2011,External Building Conditions,Missing roofing material,"$80,000 to $99,999",199,199.0,ok
2011,External Building Conditions,Missing roofing material,"Less than $10,000",358,358.0,ok
2011,External Building Conditions,None of the above,"$10,000 to $19,999","6,054",6054.0,ok
2011,External Building Conditions,None of the above,"$100,000 to $119,999","5,237",5237.0,ok
2011,External Building Conditions,None of the above,"$120,000 or more","11,759",11759.0,ok
2011,External Building Conditions,None of the above,"$20,000 to $29,999","8,119",8119.0,ok
2011,External Building Conditions,None of the above,"$30,000 to $39,999","6,980",6980.0,ok
2011,External Building Conditions,None of the above,"$40,000 to $49,999","6,428",6428.0,ok
2011,External Building Conditions,None of the above,"$50,000 to $59,999","5,733",5733.0,ok
2011,External Building Conditions,None of the above,"$60,000 to $79,999","9,701",9701.0,ok
2011,External Building Conditions,None of the above,"$80,000 to $99,999","7,272",7272.0,ok
2011,External Building Conditions,None of the above,"Less than $10,000","4,676",4676.0,ok
2011,External Building Conditions,Not reported,"$10,000 to $19,999",30,30.0,ok
2011,External Building Conditions,Not reported,"$100,000 to $119,999",10,10.0,ok
2011,External Building Conditions,Not reported,"$120,000 or more",25,25.0,ok
2011,External Building Conditions,Not reported,"$20,000 to $29,999",39,39.0,ok
2011,External Building Conditions,Not reported,"$30,000 to $39,999",30,30.0,ok
2011,External Building Conditions,Not reported,"$40,000 to $49,999",24,24.0,ok
2011,External Building Conditions,Not reported,"$50,000 to $59,999",14,14.0,ok
2011,External Building Conditions,Not reported,"$60,000 to $79,999",40,40.0,ok
2011,External Building Conditions,Not reported,"$80,000 to $99,999",22,22.0,ok
2011,External Building Conditions,Not reported,"Less than $10,000",33,33.0,ok
2011,External Building Conditions,Sagging roof,"$10,000 to $19,999",258,258.0,ok
2011,External Building Conditions,Sagging roof,"$100,000 to $119,999",61,61.0,ok
2011,External Building Conditions,Sagging roof,"$120,000 or more",132,132.0,ok
2011,External Building Conditions,Sagging roof,"$20,000 to $29,999",251,251.0,ok
2011,External Building Conditions,Sagging roof,"$30,000 to $39,999",177,177.0,ok
2011,External Building Conditions,Sagging roof,"$40,000 to $49,999",144,144.0,ok
2011,External Building Conditions,Sagging roof,"$50,000 to $59,999",121,121.0,ok
2011,External Building Conditions,Sagging roof,"$60,000 to $79,999",219,219.0,ok
2011,External Building Conditions,Sagging roof,"$80,000 to $99,999",107,107.0,ok
2011,External Building Conditions,Sagging roof,"Less than $10,000",253,253.0,ok
2011,External Building Conditions,Sloping outside walls,"$10,000 to $19,999",166,166.0,ok
2011,External Building Conditions,Sloping outside walls,"$100,000 to $119,999",43,43.0,ok
2011,External Building Conditions,Sloping outside walls,"$120,000 or more",74,74.0,ok
2011,External Building Conditions,Sloping outside walls,"$20,000 to $29,999",130,130.0,ok
2011,External Building Conditions,Sloping outside walls,"$30,000 to $39,999",107,107.0,ok
2011,External Building Conditions,Sloping outside walls,"$40,000 to $49,999",88,88.0,ok
2011,External Building Conditions,Sloping outside walls,"$50,000 to $59,999",69,69.0,ok
2011,External Building Conditions,Sloping outside walls,"$60,000 to $79,999",146,146.0,ok
2011,External Building Conditions,Sloping outside walls,"$80,000 to $99,999",63,63.0,ok
2011,External Building Conditions,Sloping outside walls,"Less than $10,000",144,144.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$10,000 to $19,999",101,101.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$100,000 to $119,999",23,23.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$120,000 or more",45,45.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$20,000 to $29,999",96,96.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$30,000 to $39,999",78,78.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$40,000 to $49,999",43,43.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$50,000 to $59,999",54,54.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$60,000 to $79,999",35,35.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$80,000 to $99,999",35,35.0,ok
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"Less than $10,000",85,85.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$10,000 to $19,999",345,345.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$100,000 to $119,999",67,67.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$120,000 or more",161,161.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$20,000 to $29,999",283,283.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$30,000 to $39,999",237,237.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$40,000 to $49,999",154,154.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$50,000 to $59,999",146,146.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$60,000 to $79,999",195,195.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$80,000 to $99,999",109,109.0,ok
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"Less than $10,000",382,382.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$10,000 to $19,999","12,249",12249.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$100,000 to $119,999","6,719",6719.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$120,000 or more","14,586",14586.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$20,000 to $29,999","13,826",13826.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$30,000 to $39,999","11,453",11453.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$40,000 to $49,999","9,871",9871.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$50,000 to $59,999","8,436",8436.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$60,000 to $79,999","13,768",13768.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$80,000 to $99,999","9,620",9620.0,ok
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"Less than $10,000","10,939",10939.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$10,000 to $19,999","12,710",12710.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$100,000 to $119,999","6,849",6849.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$120,000 or more","14,862",14862.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$20,000 to $29,999","14,260",14260.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$30,000 to $39,999","11,828",11828.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$40,000 to $49,999","10,119",10119.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$50,000 to $59,999","8,642",8642.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$60,000 to $79,999","14,107",14107.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$80,000 to $99,999","9,828",9828.0,ok
2011,Flush Toilet Breakdowns,With one or more flush toilets,"Less than $10,000","11,505",11505.0,ok
2011,Heating Problems,Equipment breakdowns,"$10,000 to $19,999",373,373.0,ok
2011,Heating Problems,Equipment breakdowns,"$100,000 to $119,999",136,136.0,ok
2011,Heating Problems,Equipment breakdowns,"$120,000 or more",208,208.0,ok
2011,Heating Problems,Equipment breakdowns,"$20,000 to $29,999",396,396.0,ok
2011,Heating Problems,Equipment breakdowns,"$30,000 to $39,999",281,281.0,ok
2011,Heating Problems,Equipment breakdowns,"$40,000 to $49,999",191,191.0,ok
2011,Heating Problems,Equipment breakdowns,"$50,000 to $59,999",147,147.0,ok
2011,Heating Problems,Equipment breakdowns,"$60,000 to $79,999",286,286.0,ok
2011,Heating Problems,Equipment breakdowns,"$80,000 to $99,999",200,200.0,ok
2011,Heating Problems,Equipment breakdowns,"Less than $10,000",385,385.0,ok
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$10,000 to $19,999",6,6.0,ok
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$100,000 to $119,999",.,,blank_or_na
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$120,000 or more",.,,blank_or_na
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$20,000 to $29,999",8,8.0,ok
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$30,000 to $39,999",5,5.0,ok
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$40,000 to $49,999",3,3.0,ok
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$50,000 to $59,999",.,,blank_or_na
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$60,000 to $79,999",10,10.0,ok
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$80,000 to $99,999",1,1.0,ok
2011,Heating Problems,No breakdowns lasting 6 hours or more,"Less than $10,000",8,8.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$10,000 to $19,999","9,657",9657.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$100,000 to $119,999","5,936",5936.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$120,000 or more","12,938",12938.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$20,000 to $29,999","11,230",11230.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$30,000 to $39,999","9,355",9355.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$40,000 to $49,999","8,219",8219.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$50,000 to $59,999","7,123",7123.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$60,000 to $79,999","11,853",11853.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"$80,000 to $99,999","8,474",8474.0,ok
2011,Heating Problems,Not uncomfortably cold for 24 hours or more,"Less than $10,000","8,174",8174.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$10,000 to $19,999","1,328",1328.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$100,000 to $119,999",434,434.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$120,000 or more",916,916.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$20,000 to $29,999","1,246",1246.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$30,000 to $39,999","1,034",1034.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$40,000 to $49,999",752,752.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$50,000 to $59,999",641,641.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$60,000 to $79,999",966,966.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"$80,000 to $99,999",626,626.0,ok
2011,Heating Problems,Uncomfortably cold for 24 hours or more,"Less than $10,000","1,186",1186.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$10,000 to $19,999","11,259",11259.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$100,000 to $119,999","6,460",6460.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$120,000 or more","14,055",14055.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$20,000 to $29,999","12,787",12787.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$30,000 to $39,999","10,615",10615.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$40,000 to $49,999","9,170",9170.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$50,000 to $59,999","7,896",7896.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$60,000 to $79,999","13,070",13070.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"$80,000 to $99,999","9,269",9269.0,ok
2011,Heating Problems,With heating equipment and occupied last winter,"Less than $10,000","9,765",9765.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$10,000 to $19,999",151,151.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$100,000 to $119,999",36,36.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$120,000 or more",78,78.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$20,000 to $29,999",137,137.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$30,000 to $39,999",114,114.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$40,000 to $49,999",80,80.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$50,000 to $59,999",52,52.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$60,000 to $79,999",98,98.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"$80,000 to $99,999",53,53.0,ok
2011,Number of breakdowns that lasted 6 hours or more:,1,"Less than $10,000",192,192.0,ok
