year,section,characteristic,income_group,estimate_raw,estimate,flag,estimate_log
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$40,000 to $49,999",.,,blank_or_na,
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$50,000 to $59,999",7,7.0,ok,2.0794415416798357
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$60,000 to $79,999",9,9.0,ok,2.302585092994046
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$80,000 to $99,999",10,10.0,ok,2.3978952727983707
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"Less than $10,000",14,14.0,ok,2.70805020110221
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$10,000 to $19,999",157,157.0,ok,5.062595033026967
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$100,000 to $119,999",66,66.0,ok,4.204692619390966
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$120,000 or more",148,148.0,ok,5.003946305945459
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$20,000 to $29,999",172,172.0,ok,5.153291594497779
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$30,000 to $39,999",174,174.0,ok,5.1647859739235145
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$40,000 to $49,999",112,112.0,ok,4.727387818712341
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$50,000 to $59,999",91,91.0,ok,4.5217885770490405
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$60,000 to $79,999",187,187.0,ok,5.236441962829949
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$80,000 to $99,999",116,116.0,ok,4.762173934797756
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"Less than $10,000",209,209.0,ok,5.3471075307174685
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$10,000 to $19,999","12,710",12710.0,ok,9.450223039294668
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$100,000 to $119,999","6,845",6845.0,ok,8.831419819090131
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$120,000 or more","14,860",14860.0,ok,9.60649561075857
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$20,000 to $29,999","14,218",14218.0,ok,9.562334377396374
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$30,000 to $39,999","11,828",11828.0,ok,9.378309422545737
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$40,000 to $49,999","10,113",10113.0,ok,9.221675881639928
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$50,000 to $59,999","8,635",8635.0,ok,9.063694791634697
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$60,000 to $79,999","14,108",14108.0,ok,9.554568170613157
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$80,000 to $99,999","9,832",9832.0,ok,9.193499354780156
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"Less than $10,000","11,514",11514.0,ok,9.351405812254786
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$10,000 to $19,999","1,042",1042.0,ok,6.949856455000773
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$100,000 to $119,999",700,700.0,ok,6.55250788703459
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$120,000 or more","1,682",1682.0,ok,7.428333194190806
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$20,000 to $29,999","1,199",1199.0,ok,7.090076835776092
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$30,000 to $39,999","1,020",1020.0,ok,6.928537818164665
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$40,000 to $49,999",879,879.0,ok,6.779921907472252
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$50,000 to $59,999",777,777.0,ok,6.656726524178391
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$60,000 to $79,999","1,344",1344.0,ok,7.20414929203594
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$80,000 to $99,999","1,031",1031.0,ok,6.939253946041508
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"Less than $10,000",890,890.0,ok,6.792344427470809
2011,External Building Conditions,Bars on windows,"$10,000 to $19,999",298,298.0,ok,5.700443573390686
2011,External Building Conditions,Bars on windows,"$100,000 to $119,999",120,120.0,ok,4.795790545596741
2011,External Building Conditions,Bars on windows,"$120,000 or more",266,266.0,ok,5.58724865840025
2011,External Building Conditions,Bars on windows,"$20,000 to $29,999",383,383.0,ok,5.950642552587727
2011,External Building Conditions,Bars on windows,"$30,000 to $39,999",285,285.0,ok,5.655991810819852
2011,External Building Conditions,Bars on windows,"$40,000 to $49,999",207,207.0,ok,5.337538079701318
2011,External Building Conditions,Bars on windows,"$50,000 to $59,999",188,188.0,ok,5.241747015059643
2011,External Building Conditions,Bars on windows,"$60,000 to $79,999",321,321.0,ok,5.7745515455444085
2011,External Building Conditions,Bars on windows,"$80,000 to $99,999",184,184.0,ok,5.220355825078325
2011,External Building Conditions,Bars on windows,"Less than $10,000",330,330.0,ok,5.802118375377063
2011,External Building Conditions,Boarded up windows,"$10,000 to $19,999",127,127.0,ok,4.852030263919617
2011,External Building Conditions,Boarded up windows,"$100,000 to $119,999",16,16.0,ok,2.833213344056216
2011,External Building Conditions,Boarded up windows,"$120,000 or more",44,44.0,ok,3.8066624897703196
2011,External Building Conditions,Boarded up windows,"$20,000 to $29,999",117,117.0,ok,4.770684624465665
2011,External Building Conditions,Boarded up windows,"$30,000 to $39,999",101,101.0,ok,4.624972813284271
2011,External Building Conditions,Boarded up windows,"$40,000 to $49,999",84,84.0,ok,4.442651256490317
2011,External Building Conditions,Boarded up windows,"$50,000 to $59,999",53,53.0,ok,3.9889840465642745
2011,External Building Conditions,Boarded up windows,"$60,000 to $79,999",74,74.0,ok,4.31748811353631
2011,External Building Conditions,Boarded up windows,"$80,000 to $99,999",48,48.0,ok,3.8918202981106265
2011,External Building Conditions,Boarded up windows,"Less than $10,000",167,167.0,ok,5.123963979403259
2011,External Building Conditions,Broken windows,"$10,000 to $19,999",510,510.0,ok,6.236369590203704
2011,External Building Conditions,Broken windows,"$100,000 to $119,999",177,177.0,ok,5.181783550292085
2011,External Building Conditions,Broken windows,"$120,000 or more",281,281.0,ok,5.641907070938114
2011,External Building Conditions,Broken windows,"$20,000 to $29,999",490,490.0,ok,6.19644412779452
2011,External Building Conditions,Broken windows,"$30,000 to $39,999",413,413.0,ok,6.025865973825314
2011,External Building Conditions,Broken windows,"$40,000 to $49,999",355,355.0,ok,5.87493073085203
2011,External Building Conditions,Broken windows,"$50,000 to $59,999",241,241.0,ok,5.488937726156687
2011,External Building Conditions,Broken windows,"$60,000 to $79,999",400,400.0,ok,5.993961427306569
2011,External Building Conditions,Broken windows,"$80,000 to $99,999",265,265.0,ok,5.583496308781699
2011,External Building Conditions,Broken windows,"Less than $10,000",468,468.0,ok,6.150602768446279
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$10,000 to $19,999",521,521.0,ok,6.257667587882639
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$100,000 to $119,999",276,276.0,ok,5.6240175061873385
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$120,000 or more",498,498.0,ok,6.212606095751519
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$20,000 to $29,999",618,618.0,ok,6.428105272684596
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$30,000 to $39,999",511,511.0,ok,6.238324625039508
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$40,000 to $49,999",396,396.0,ok,5.983936280687191
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$50,000 to $59,999",333,333.0,ok,5.8111409929767
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$60,000 to $79,999",584,584.0,ok,6.371611847231857
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"$80,000 to $99,999",352,352.0,ok,5.8664680569332965
2011,External Building Conditions,Foundation crumbling or has open crack or hole,"Less than $10,000",461,461.0,ok,6.135564891081739
2011,External Building Conditions,Hole in roof,"$10,000 to $19,999",200,200.0,ok,5.303304908059076
2011,External Building Conditions,Hole in roof,"$100,000 to $119,999",39,39.0,ok,3.6888794541139363
2011,External Building Conditions,Hole in roof,"$120,000 or more",112,112.0,ok,4.727387818712341
2011,External Building Conditions,Hole in roof,"$20,000 to $29,999",199,199.0,ok,5.298317366548036
2011,External Building Conditions,Hole in roof,"$30,000 to $39,999",192,192.0,ok,5.262690188904886
2011,External Building Conditions,Hole in roof,"$40,000 to $49,999",91,91.0,ok,4.5217885770490405
2011,External Building Conditions,Hole in roof,"$50,000 to $59,999",36,36.0,ok,3.6109179126442243
2011,External Building Conditions,Hole in roof,"$60,000 to $79,999",129,129.0,ok,4.867534450455582
2011,External Building Conditions,Hole in roof,"$80,000 to $99,999",73,73.0,ok,4.304065093204169
2011,External Building Conditions,Hole in roof,"Less than $10,000",213,213.0,ok,5.365976015021851
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$10,000 to $19,999",324,324.0,ok,5.783825182329737
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$100,000 to $119,999",81,81.0,ok,4.406719247264253
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$120,000 or more",173,173.0,ok,5.159055299214529
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$20,000 to $29,999",265,265.0,ok,5.583496308781699
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$30,000 to $39,999",232,232.0,ok,5.4510384535657
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$40,000 to $49,999",192,192.0,ok,5.262690188904886
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$50,000 to $59,999",165,165.0,ok,5.111987788356544
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$60,000 to $79,999",267,267.0,ok,5.5909869805108565
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","$80,000 to $99,999",122,122.0,ok,4.812184355372417
2011,External Building Conditions,"Missing bricks, siding, or other outside wall material","Less than $10,000",313,313.0,ok,5.749392985908253
2011,External Building Conditions,Missing roofing material,"$10,000 to $19,999",358,358.0,ok,5.883322388488279
2011,External Building Conditions,Missing roofing material,"$100,000 to $119,999",159,159.0,ok,5.075173815233827
2011,External Building Conditions,Missing roofing material,"$120,000 or more",330,330.0,ok,5.802118375377063
2011,External Building Conditions,Missing roofing material,"$20,000 to $29,999",379,379.0,ok,5.940171252720432
2011,External Building Conditions,Missing roofing material,"$30,000 to $39,999",365,365.0,ok,5.902633333401366
2011,External Building Conditions,Missing roofing material,"$40,000 to $49,999",290,290.0,ok,5.673323267171493
2011,External Building Conditions,Missing roofing material,"$50,000 to $59,999",213,213.0,ok,5.365976015021851
2011,External Building Conditions,Missing roofing material,"$60,000 to $79,999",379,379.0,ok,5.940171252720432
2011,External Building Conditions,Missing roofing material,"$80,000 to $99,999",199,199.0,ok,5.298317366548036
2011,External Building Conditions,Missing roofing material,"Less than $10,000",358,358.0,ok,5.883322388488279
2011,External Building Conditions,None of the above,"$10,000 to $19,999","6,054",6054.0,ok,8.708639655987193
2011,External Building Conditions,None of the above,"$100,000 to $119,999","5,237",5237.0,ok,8.563695025067657
2011,External Building Conditions,None of the above,"$120,000 or more","11,759",11759.0,ok,9.372459221452617
2011,External Building Conditions,None of the above,"$20,000 to $29,999","8,119",8119.0,ok,9.002085433155724
2011,External Building Conditions,None of the above,"$30,000 to $39,999","6,980",6980.0,ok,8.850947451970402
2011,External Building Conditions,None of the above,"$40,000 to $49,999","6,428",6428.0,ok,8.768574284141687
2011,External Building Conditions,None of the above,"$50,000 to $59,999","5,733",5733.0,ok,8.654168646443315
2011,External Building Conditions,None of the above,"$60,000 to $79,999","9,701",9701.0,ok,9.180087328805161
2011,External Building Conditions,None of the above,"$80,000 to $99,999","7,272",7272.0,ok,8.89192414015454
2011,External Building Conditions,None of the above,"Less than $10,000","4,676",4676.0,ok,8.450412157725886
2011,External Building Conditions,Not reported,"$10,000 to $19,999",30,30.0,ok,3.4339872044851463
2011,External Building Conditions,Not reported,"$100,000 to $119,999",10,10.0,ok,2.3978952727983707
2011,External Building Conditions,Not reported,"$120,000 or more",25,25.0,ok,3.258096538021482
2011,External Building Conditions,Not reported,"$20,000 to $29,999",39,39.0,ok,3.6888794541139363
2011,External Building Conditions,Not reported,"$30,000 to $39,999",30,30.0,ok,3.4339872044851463
2011,External Building Conditions,Not reported,"$40,000 to $49,999",24,24.0,ok,3.2188758248682006
2011,External Building Conditions,Not reported,"$50,000 to $59,999",14,14.0,ok,2.70805020110221
2011,External Building Conditions,Not reported,"$60,000 to $79,999",40,40.0,ok,3.713572066704308
2011,External Building Conditions,Not reported,"$80,000 to $99,999",22,22.0,ok,3.1354942159291497
2011,External Building Conditions,Not reported,"Less than $10,000",33,33.0,ok,3.5263605246161616
2011,External Building Conditions,Sagging roof,"$10,000 to $19,999",258,258.0,ok,5.556828061699537
2011,External Building Conditions,Sagging roof,"$100,000 to $119,999",61,61.0,ok,4.127134385045092
2011,External Building Conditions,Sagging roof,"$120,000 or more",132,132.0,ok,4.890349128221754
2011,External Building Conditions,Sagging roof,"$20,000 to $29,999",251,251.0,ok,5.529429087511423
2011,External Building Conditions,Sagging roof,"$30,000 to $39,999",177,177.0,ok,5.181783550292085
2011,External Building Conditions,Sagging roof,"$40,000 to $49,999",144,144.0,ok,4.976733742420574
2011,External Building Conditions,Sagging roof,"$50,000 to $59,999",121,121.0,ok,4.804021044733257
2011,External Building Conditions,Sagging roof,"$60,000 to $79,999",219,219.0,ok,5.393627546352361
2011,External Building Conditions,Sagging roof,"$80,000 to $99,999",107,107.0,ok,4.68213122712422
2011,External Building Conditions,Sagging roof,"Less than $10,000",253,253.0,ok,5.537334267018537
2011,External Building Conditions,Sloping outside walls,"$10,000 to $19,999",166,166.0,ok,5.117993812416755
2011,External Building Conditions,Sloping outside walls,"$100,000 to $119,999",43,43.0,ok,3.784189633918261
2011,External Building Conditions,Sloping outside walls,"$120,000 or more",74,74.0,ok,4.31748811353631
2011,External Building Conditions,Sloping outside walls,"$20,000 to $29,999",130,130.0,ok,4.875197323201151
2011,External Building Conditions,Sloping outside walls,"$30,000 to $39,999",107,107.0,ok,4.68213122712422
2011,External Building Conditions,Sloping outside walls,"$40,000 to $49,999",88,88.0,ok,4.48863636973214
2011,External Building Conditions,Sloping outside walls,"$50,000 to $59,999",69,69.0,ok,4.248495242049359
2011,External Building Conditions,Sloping outside walls,"$60,000 to $79,999",146,146.0,ok,4.990432586778736
2011,External Building Conditions,Sloping outside walls,"$80,000 to $99,999",63,63.0,ok,4.1588830833596715
2011,External Building Conditions,Sloping outside walls,"Less than $10,000",144,144.0,ok,4.976733742420574
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$10,000 to $19,999",101,101.0,ok,4.624972813284271
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$100,000 to $119,999",23,23.0,ok,3.1780538303479458
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$120,000 or more",45,45.0,ok,3.828641396489095
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$20,000 to $29,999",96,96.0,ok,4.574710978503383
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$30,000 to $39,999",78,78.0,ok,4.3694478524670215
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$40,000 to $49,999",43,43.0,ok,3.784189633918261
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$50,000 to $59,999",54,54.0,ok,4.007333185232471
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$60,000 to $79,999",35,35.0,ok,3.58351893845611
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"$80,000 to $99,999",35,35.0,ok,3.58351893845611
2011,Flush Toilet Breakdowns,No breakdowns lasting 6 hours or more,"Less than $10,000",85,85.0,ok,4.454347296253507
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$10,000 to $19,999",345,345.0,ok,5.846438775057724
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$100,000 to $119,999",67,67.0,ok,4.219507705176107
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$120,000 or more",161,161.0,ok,5.087596335232384
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$20,000 to $29,999",283,283.0,ok,5.648974238161206
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$30,000 to $39,999",237,237.0,ok,5.472270673671475
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$40,000 to $49,999",154,154.0,ok,5.043425116919247
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$50,000 to $59,999",146,146.0,ok,4.990432586778736
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$60,000 to $79,999",195,195.0,ok,5.278114659230518
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"$80,000 to $99,999",109,109.0,ok,4.700480365792417
2011,Flush Toilet Breakdowns,None working some time in last 3 months,"Less than $10,000",382,382.0,ok,5.948034989180646
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$10,000 to $19,999","12,249",12249.0,ok,9.413281215972873
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$100,000 to $119,999","6,719",6719.0,ok,8.812843433517195
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$120,000 or more","14,586",14586.0,ok,9.587886000086213
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$20,000 to $29,999","13,826",13826.0,ok,9.534378481388618
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$30,000 to $39,999","11,453",11453.0,ok,9.346094292953802
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$40,000 to $49,999","9,871",9871.0,ok,9.197457746145169
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$50,000 to $59,999","8,436",8436.0,ok,9.040382074165628
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$60,000 to $79,999","13,768",13768.0,ok,9.530174967444372
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"$80,000 to $99,999","9,620",9620.0,ok,9.171703488361265
2011,Flush Toilet Breakdowns,With at least one toilet working at all times in last 3 months,"Less than $10,000","10,939",10939.0,ok,9.300181075975972
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$10,000 to $19,999","12,710",12710.0,ok,9.450223039294668
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$100,000 to $119,999","6,849",6849.0,ok,8.83200393125627
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$120,000 or more","14,862",14862.0,ok,9.606630182148894
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$20,000 to $29,999","14,260",14260.0,ok,9.565283817736766
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$30,000 to $39,999","11,828",11828.0,ok,9.378309422545737
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$40,000 to $49,999","10,119",10119.0,ok,9.222268942841456
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$50,000 to $59,999","8,642",8642.0,ok,9.064505023752638
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$60,000 to $79,999","14,107",14107.0,ok,9.554497291355943
2011,Flush Toilet Breakdowns,With one or more flush toilets,"$80,000 to $99,999","9,828",9828.0,ok,9.19309247856663
2011,Flush Toilet Breakdowns,With one or more flush toilets,"Less than $10,000","11,505",11505.0,ok,9.350623917423238
2011,Heating Problems,Equipment breakdowns,"$10,000 to $19,999",373,373.0,ok,5.924255797414532
2011,Heating Problems,Equipment breakdowns,"$100,000 to $119,999",136,136.0,ok,4.919980925828125
2011,Heating Problems,Equipment breakdowns,"$120,000 or more",208,208.0,ok,5.342334251964811
2011,Heating Problems,Equipment breakdowns,"$20,000 to $29,999",396,396.0,ok,5.983936280687191
2011,Heating Problems,Equipment breakdowns,"$30,000 to $39,999",281,281.0,ok,5.641907070938114
2011,Heating Problems,Equipment breakdowns,"$40,000 to $49,999",191,191.0,ok,5.2574953720277815
2011,Heating Problems,Equipment breakdowns,"$50,000 to $59,999",147,147.0,ok,4.997212273764115
2011,Heating Problems,Equipment breakdowns,"$60,000 to $79,999",286,286.0,ok,5.659482215759621
2011,Heating Problems,Equipment breakdowns,"$80,000 to $99,999",200,200.0,ok,5.303304908059076
2011,Heating Problems,Equipment breakdowns,"Less than $10,000",385,385.0,ok,5.955837369464831
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$10,000 to $19,999",6,6.0,ok,1.9459101490553132
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$100,000 to $119,999",.,,blank_or_na,
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$120,000 or more",.,,blank_or_na,
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$20,000 to $29,999",8,8.0,ok,2.1972245773362196
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$30,000 to $39,999",5,5.0,ok,1.791759469228055
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$40,000 to $49,999",3,3.0,ok,1.3862943611198906
2011,Heating Problems,No breakdowns lasting 6 hours or more,"$50,000 to $59,999",.,,blank_or_na,
